0	2022-12-05 09:08:29Z	Sorry, planned but not yet available
1	2022-12-05 08:55:30Z	Software life cycle - notes
2	2022-12-05 09:01:45Z	Agile Methodologies - notes
3	2022-12-05 09:03:22Z	Architecture - Part 1
4	2022-12-05 09:15:07Z	
5	2022-12-05 09:33:35Z	Design patterns
